book_title,book_author,book_format,book_img_src,num_of_stars,num_of_reviews
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in…",Trevor Hastie,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51gleGGYGGL._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,774
Lean Analytics: Use Data to Build a Better Startup Faster (Lean (O'Reilly)),Alistair Croll,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/71UuvH3OzNL._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,382
Discovering Statistics Using R,Andy Field,Paperback,"https://images-na.ssl-images-amazon.com/images/I/41M2PgYiZXL._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,498
Now You See It: Simple Visualization Techniques for Quantitative Analysis,Stephen Few,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/31Drlf3dfSL._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,157
Data Points: Visualization That Means Something,Nathan Yau,Paperback,"https://images-na.ssl-images-amazon.com/images/I/61BzkjnUdzS._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,109
"Visualize This: The FlowingData Guide to Design, Visualization, and Statistics",Nathan Yau,Paperback,"https://images-na.ssl-images-amazon.com/images/I/511lwSnx7IL._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,165
Keeping Up with the Quants: Your Guide to Understanding and Using Analytics,Thomas H. Davenport,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/81k793agpqL._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,156
Head First SQL: Your Brain on SQL -- A Learner's Guide,Lynn Beighley,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51F8NgTHQOL._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,252
Introduction to Data Mining (2nd Edition) (What's New in Computer Science),Pang-Ning Tan,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51ANfAq24DL._AC_UL200_SR200,200_.jpg",3.9 out of 5 stars,56
Star Schema The Complete Reference,Christopher Adamson,Paperback,"https://images-na.ssl-images-amazon.com/images/I/415AX97Y%2BxL._AC_UL200_SR200,200_.jpg",4.7 out of 5 stars,143
NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence,Pramod Sadalage,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51dF2VqhoaL._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,227
"Big Data: A Revolution That Will Transform How We Live, Work, and Think",Viktor Mayer-Schönberger,Kindle Edition,"https://images-na.ssl-images-amazon.com/images/I/91Pgy7QnppL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,770
Learning From Data,Yaser S. Abu-Mostafa,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/81k-OvvReZL._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,243
The Art of R Programming: A Tour of Statistical Software Design,Norman Matloff,Paperback,"https://images-na.ssl-images-amazon.com/images/I/81CHR4QSLTL._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,273
Star Schema The Complete Reference,Christopher Adamson,Kindle Edition,"https://images-na.ssl-images-amazon.com/images/I/71seZ3g4tHL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",4.7 out of 5 stars,143
Big Data For Dummies,Alan Nugent,Paperback,"https://images-na.ssl-images-amazon.com/images/I/716B%2BS0kJ9L._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,163
Introduction to Data Mining,Pang-Ning Tan,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/519630c0MFL._AC_UL200_SR200,200_.jpg",4.1 out of 5 stars,207
SQL Cookbook: Query Solutions and Techniques for Database Developers (Cookbooks (O'Reilly)),Anthony Molinaro,Paperback,"https://images-na.ssl-images-amazon.com/images/I/919N5M6kIeL._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,287
The Workflow of Data Analysis Using Stata,J. Scott Long,Paperback,"https://images-na.ssl-images-amazon.com/images/I/41q%2B0-fWq4L._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,41
Learning SQL: Master SQL Fundamentals,Alan Beaulieu,Paperback,"https://images-na.ssl-images-amazon.com/images/I/710b4ds9nQL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,153
"High Performance MySQL: Optimization, Backups, and Replication",Baron Schwartz,Paperback,"https://images-na.ssl-images-amazon.com/images/I/91QQw8ekOJL._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,122
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition (Springer Series in…",Trevor Hastie,Kindle Edition,"https://images-na.ssl-images-amazon.com/images/I/61Sxfhpv7ML.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,774
"Head First Data Analysis: A learner's guide to big numbers, statistics, and good decisions",Michael Milton,Paperback,"https://images-na.ssl-images-amazon.com/images/I/91sYO200ENL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,100
Programming Collective Intelligence: Building Smart Web 2.0 Applications,Toby Segaran,Paperback,"https://images-na.ssl-images-amazon.com/images/I/71wFsMP1f4L._AC_UL200_SR200,200_.jpg",4.1 out of 5 stars,183
Exploring Splunk,David Carasso,Paperback,"https://images-na.ssl-images-amazon.com/images/I/81h8CtkeH7L._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,42
Infographics,Jason Lankow,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51zq8BD9eoL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,81
Excel Dashboards and Reports,John Walkenbach,Paperback,"https://images-na.ssl-images-amazon.com/images/I/81DkIzTbRLL._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,186
Data Mining with Rattle and R: The Art of Excavating Data for Knowledge Discovery (Use R!),Graham Williams,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51KhZE7PH2L._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,47
"Mastering Oracle SQL, 2nd Edition",Sanjay Mishra,Paperback,"https://images-na.ssl-images-amazon.com/images/I/919LdRIZLML._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,77
"Predictive Analytics: The Power to Predict Who Will Click, Buy, Lie, or Die",Eric Siegel,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51aUWTfpHhL._AC_UL200_SR200,200_.jpg",3.9 out of 5 stars,218
"The Art of Explanation: Making your Ideas, Products, and Services Easier to Understand",Lee LeFever,Paperback,"https://images-na.ssl-images-amazon.com/images/I/511ekQDn5vL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,207
Delivering Business Intelligence with Microsoft SQL Server 2012 3/E,Brian Larson,Paperback,"https://images-na.ssl-images-amazon.com/images/I/61TJ0ipMr1L._AC_UL200_SR200,200_.jpg",4.0 out of 5 stars,46
NoSQL Distilled: A Brief Guide to the Emerging World of Polyglot Persistence,Pramod J. Sadalage,Kindle Edition,"https://images-na.ssl-images-amazon.com/images/I/51icbeGHBrL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,227
The Human Face of Big Data,Rick Smolan,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51BEUbEKbOL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,113
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,Paperback,"https://images-na.ssl-images-amazon.com/images/I/81S-3ziyseL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,262
The R Book,Michael J. Crawley,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/81Yt%2B1pbccS._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,133
Oracle PL/SQL Best Practices: Write the Best PL/SQL Code of Your Life,Steven Feuerstein,Paperback,"https://images-na.ssl-images-amazon.com/images/I/41ioDbIc6KL._AC_UL200_SR200,200_.jpg",4.6 out of 5 stars,36
Microsoft SQL Server 2012 T-SQL Fundamentals,Itzik Ben-Gan,Paperback,"https://images-na.ssl-images-amazon.com/images/I/41tASH7r2BL._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,183
Pro SQL Server 2012 BI Solutions (Expert's Voice in SQL Server),Randal Root,Paperback,"https://images-na.ssl-images-amazon.com/images/I/71cM35GMJbL._AC_UL200_SR200,200_.jpg",4.1 out of 5 stars,39
Learning Spark: Lightning-Fast Big Data Analysis,Holden Karau,Paperback,"https://images-na.ssl-images-amazon.com/images/I/71KmMMrW%2BwL._AC_UL200_SR200,200_.jpg",4.3 out of 5 stars,214
Beautiful Visualization: Looking at Data through the Eyes of Experts (Theory in Practice),Julie Steele,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51NNfvVRlcL._AC_UL200_SR200,200_.jpg",3.9 out of 5 stars,35
R in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)),Joseph Adler,Paperback,"https://images-na.ssl-images-amazon.com/images/I/71nqfan5J5L._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,43
SQL in a Nutshell: A Desktop Quick Reference Guide (In a Nutshell (O'Reilly)),Kevin Kline,Paperback,"https://images-na.ssl-images-amazon.com/images/I/41yJ%2BbL2PNL._AC_UL200_SR200,200_.jpg",4.4 out of 5 stars,46
Microsoft Business Intelligence For Dummies,Ken Withee,Paperback,"https://images-na.ssl-images-amazon.com/images/I/518aZd%2BwSfL._AC_UL200_SR200,200_.jpg",3.8 out of 5 stars,13
SQL in a Nutshell: A Desktop Quick Reference (In a Nutshell (O'Reilly)),Kevin Kline,Kindle Edition,"https://images-na.ssl-images-amazon.com/images/I/91HzihbaivL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg",4.9 out of 5 stars,11
Visualizing Data,William S. Cleveland,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51MY3M1fUQL._AC_UL200_SR200,200_.jpg",4.7 out of 5 stars,29
Wrench in the System: What's Sabotaging Your Business Software and How You Can Release the Power to Innovate,Harold Hambrose,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/61yCBf3NotL._AC_UL200_SR200,200_.jpg",4.7 out of 5 stars,6
Developing Essbase Applications: Advanced Techniques for Finance and IT Professionals,Cameron Lackpour,Hardcover,"https://images-na.ssl-images-amazon.com/images/I/51YUkKsVLSL._AC_UL200_SR200,200_.jpg",4.7 out of 5 stars,15
Patterns of Data Modeling (Emerging Directions in Database Systems and Applications),Michael Blaha,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51RW0OwNwnL._AC_UL200_SR200,200_.jpg",4.5 out of 5 stars,8
Microsoft Access 2010 Inside Out,Jeff Conrad,Paperback,"https://images-na.ssl-images-amazon.com/images/I/51aBGbgkrBL._AC_UL200_SR200,200_.jpg",4.2 out of 5 stars,72
